ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,date_start,impressions,spend,purchases,revenue
120211358933820668,Image 5,120211358934730668,Happily Divorced,120211358933690668,AuraReveal | Testing Interest | Aura Analysis LP,2024-10-30,2,0.03,0,0.0
120210395878770668,Image 2,120210395878700668,Int-Motivation,120209613338180668,AuraReveal | Testing Interest,2024-10-30,2,0.01,0,0.0
120211358933920668,White,120211358934730668,Happily Divorced,120211358933690668,AuraReveal | Testing Interest | Aura Analysis LP,2024-10-30,28,0.86,0,0.0
120211358933940668,Video 3,120211358934730668,Happily Divorced,120211358933690668,AuraReveal | Testing Interest | Aura Analysis LP,2024-10-30,6,0.05,0,0.0
120211358933990668,Inny wstep,120211358934730668,Happily Divorced,120211358933690668,AuraReveal | Testing Interest | Aura Analysis LP,2024-10-30,250,4.93,0,0.0
120211358934070668,Video 1,120211358934730668,Happily Divorced,120211358933690668,AuraReveal | Testing Interest | Aura Analysis LP,2024-10-30,14,0.36,0,0.0
120210395878790668,Video 2,120210395878700668,Int-Motivation,120209613338180668,AuraReveal | Testing Interest,2024-10-30,1,0.01,0,0.0
120211358934350668,Love Advise,120211358935740668,Love Advise - Interest-Based,120211358933100668,AuraReveal | Testing Creatives | Aura Analysis LP,2024-10-30,57,0.94,0,0.0
120211358934400668,Image 3 auras,120211358935710668,Image 3 auras,120211358933100668,AuraReveal | Testing Creatives | Aura Analysis LP,2024-10-30,749,20.95,14,569.41
120211358934440668,White,120211358935750668,White,120211358933100668,AuraReveal | Testing Creatives | Aura Analysis LP,2024-10-30,0,0.0,7,239.7
120211358935360668,Image long text 1,120211358935730668,Image long text 1,120211358933100668,AuraReveal | Testing Creatives | Aura Analysis LP,2024-10-30,33,0.89,0,0.0
120211358935500668,Image long text 3,120211358935720668,Image long text 3,120211358933100668,AuraReveal | Testing Creatives | Aura Analysis LP,2024-10-30,35,1.45,0,0.0
120211627054020668,Inny wstep,120211627053840668,Inny wstep,120211627053770668,Testing CBO - Top OldCreatives - 25/10,2024-10-30,38,1.03,0,0.0
120211627054030668,Pink,120211627053860668,Pink,120211627053770668,Testing CBO - Top OldCreatives - 25/10,2024-10-30,464,10.77,0,0.0
120210395878820668,Image 5,120210395878700668,Int-Motivation,120209613338180668,AuraReveal | Testing Interest,2024-10-30,7,0.12,0,0.0
120211643302970668,Green,120211643303090668,Original Copy,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-30,14,0.48,0,0.0
120211643303020668,Video 1 - 08-24,120211643303090668,Original Copy,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-30,823,18.63,14,580.81
120211643303030668,Video 3,120211643303090668,Original Copy,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-30,15,0.6,0,0.0
120211643359390668,Inny wstep,120211643303090668,Original Copy,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-30,21,0.45,0,0.0
120211643373090668,Video 3 - Copy Variation 2,120211643373080668,Copy Variation 2,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-30,628,17.39,7,419.11
120211644023180668,Ex Back H1,120211644023120668,Ex Back,120211643546080668,Testing CBO - New Creatives - 26/10,2024-10-30,120,4.39,14,479.41
120211643373100668,Video 3 - Copy Variation 1,120211643373140668,Copy Variation 1,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-30,16,0.46,0,0.0
120211643373110668,Green - Copy Variation 2,120211643373080668,Copy Variation 2,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-30,56,2.24,0,0.0
120210395878850668,Image 6,120210395878700668,Int-Motivation,120209613338180668,AuraReveal | Testing Interest,2024-10-30,7,0.1,0,0.0
120211643373120668,Green - Copy Variation 1,120211643373140668,Copy Variation 1,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-30,141,4.14,0,0.0
120211643373130668,Inny wstep - Copy Variation 2,120211643373080668,Copy Variation 2,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-30,38,0.68,0,0.0
120211643373150668,Video 1 - 08-24 - Copy Variation 1,120211643373140668,Copy Variation 1,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-30,714,14.92,7,239.7
120211643373160668,Inny wstep - Copy Variation 1,120211643373140668,Copy Variation 1,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-30,35,0.96,0,0.0
120211761181950668,Pink,120211761181770668,New Zealand,120211761168410668,Testing CBO - Country Expansion 1 - 31/10,2024-10-31,35,0.43,0,0.0
120211644023150668,Love H1,120211644023110668,Love,120211643546080668,Testing CBO - New Creatives - 26/10,2024-10-31,467,11.89,7,239.7
120211643302970668,Green,120211643303090668,Original Copy,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-31,29,0.8,0,0.0
120211761181940668,Green,120211761181990668,United Kingdom,120211761168410668,Testing CBO - Country Expansion 1 - 31/10,2024-10-31,277,6.35,7,339.49
120210395878820668,Image 5,120210395878700668,Int-Motivation,120209613338180668,AuraReveal | Testing Interest,2024-10-31,1,0.01,0,0.0
